Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
7,5,4208.952392578125,1084.556648619629,4.0,3242.70390625,5231.07890625,187
7,6,3944.9824829101562,569.2620245625989,4.0,3379.3280029296875,4391.17490234375,188
7,7,4407.000048828125,1137.095467956616,5.0,3448.240087890625,5497.56806640625,189
7,8,4360.7432861328125,1303.5881594326002,6.0,3072.9449462890625,5899.18505859375,190
7,9,4468.293896484375,1449.9531123418908,5.0,3048.59794921875,5988.7478515625,191
7,10,4500.402001953125,1454.6418360233608,5.0,3069.858056640625,6021.8400390625,192
7,11,4627.5779296875,1309.7983508095917,5.0,3341.717919921875,5989.666015625,193
7,12,4260.942041015625,954.6282719904013,5.0,3335.78203125,5158.07412109375,194
7,13,3959.0625,617.1703643138102,4.0,3349.18798828125,4467.791015625,195
7,14,4427.2359375,1152.9501682411753,5.0,3434.66396484375,5563.30400390625,196
7,15,4389.838297526042,1303.9673522293983,6.0,3120.4300537109375,5937.489990234375,197
7,16,4495.534130859375,1448.3115186793354,5.0,3088.65205078125,6025.1001953125,198
7,17,4523.51396484375,1443.59668559441,5.0,3080.5439453125,6013.72392578125,199
7,18,4644.464013671875,1316.3159868314035,5.0,3329.406103515625,5995.9099609375,200
7,19,4248.502099609375,921.2016786443907,5.0,3360.642041015625,5129.2880859375,201
7,20,4017.4175415039062,562.9066330603903,4.0,3464.2580322265626,4471.327099609375,202
7,21,4491.3759765625,1126.550407297849,5.0,3553.960009765625,5597.89599609375,203
7,22,4410.6983642578125,1300.8082256626471,6.0,3130.5250244140625,5937.01513671875,204
7,23,4513.5140625,1449.9291470264413,5.0,3097.545947265625,6037.6421875,205
7,24,4516.06201171875,1429.5670697376381,5.0,3097.98798828125,5988.86201171875,206
7,25,4665.166064453125,1300.6703519229732,5.0,3388.93798828125,5992.87216796875,207
7,26,4279.01201171875,893.6524623986975,5.0,3383.936083984375,5102.16005859375,208
7,27,4050.4725341796875,582.7648434890499,4.0,3474.669970703125,4496.62509765625,209
7,28,4532.702001953125,1162.7263350977355,5.0,3560.0359375,5666.754003906251,210
7,29,4443.8749593098955,1287.0003351921218,6.0,3139.7049560546875,5917.199951171875,211
7,30,4490.79990234375,1426.5746909350428,5.0,3106.395947265625,5992.31591796875,212
7,31,4540.42998046875,1435.9304466713406,5.0,3096.6759765625,6012.55400390625,213
8,1,4666.72197265625,1257.050851035474,5.0,3419.58798828125,5921.4779296875,214
8,2,4254.070068359375,873.6076230076955,5.0,3395.706005859375,5013.29208984375,215
8,3,4093.7050170898438,553.0158627875369,4.0,3552.7780517578126,4478.26806640625,216
8,4,4533.815966796875,1106.6260081664177,5.0,3644.681982421875,5589.175878906251,217
8,5,4372.0533447265625,1253.3823951766078,6.0,3086.2550048828125,5742.760009765625,218
8,6,4450.507958984375,1404.170064274732,5.0,3068.7259765625,5903.04794921875,219
8,7,4458.639990234375,1396.223952668229,5.0,3070.9,5883.8,220
8,8,4657.258056640625,1292.938537817806,5.0,3418.878076171875,5961.394140625,221
8,9,4257.06806640625,875.5487955490211,5.0,3400.17802734375,4993.580078125,222
8,10,4119.072570800781,518.6645385695788,4.0,3615.4010498046873,4459.2060546875,223
8,11,4564.1740234375,1111.283391937449,5.0,3683.12197265625,5609.690039062501,224
